,decoder,ori,iv,threshold
0,ML,-45,2.5,12.83256959972831
20,ML,-45,2.5,17.472593466186613
40,ML,-45,2.5,16.674082781147487
60,ML,-45,2.5,15.79444943307473
80,ML,-45,2.5,15.551260262698635
100,ML,-45,2.5,17.06871910606739
1,ML,-45,5.0,3.248383494832178
21,ML,-45,5.0,3.2942128632565826
41,ML,-45,5.0,2.033684708871928
61,ML,-45,5.0,1.342037575073892
81,ML,-45,5.0,1.21205612574974
101,ML,-45,5.0,3.9756867326277168
2,ML,-45,10.0,0.8575418624691641
22,ML,-45,10.0,0.7496036058993719
42,ML,-45,10.0,0.6440050725301285
62,ML,-45,10.0,0.8344197195220812
82,ML,-45,10.0,0.7289803572822878
102,ML,-45,10.0,1.1654220038178595
3,ML,-45,20.0,0.21623288293802226
23,ML,-45,20.0,0.35258274474981915
43,ML,-45,20.0,0.642344225634223
63,ML,-45,20.0,0.3869588634236058
83,ML,-45,20.0,0.14946761896358782
103,ML,-45,20.0,0.3626731833591233
4,ML,-45,40.0,0.2502438750223491
24,ML,-45,40.0,0.2479808207517509
44,ML,-45,40.0,0.14346989432449256
64,ML,-45,40.0,0.15317270476858683
84,ML,-45,40.0,0.3094822939447718
104,ML,-45,40.0,0.1453730565109991
5,ML,0,2.5,12.070228077129386
25,ML,0,2.5,4.097348285688529
45,ML,0,2.5,17.851195043747595
65,ML,0,2.5,10.543695934481878
85,ML,0,2.5,6.69186152973072
105,ML,0,2.5,6.428646577478574
6,ML,0,5.0,1.9301092649260125
26,ML,0,5.0,3.498258291988124
46,ML,0,5.0,1.0146036966154255
66,ML,0,5.0,2.2601694368876326
86,ML,0,5.0,0.9451827950619062
106,ML,0,5.0,1.850380548000465
7,ML,0,10.0,0.6050491788995583
27,ML,0,10.0,0.5013817352779022
47,ML,0,10.0,0.6256110884100007
67,ML,0,10.0,0.3935446855162115
87,ML,0,10.0,0.971063873065669
107,ML,0,10.0,0.599522147914998
8,ML,0,20.0,0.3267044784077346
28,ML,0,20.0,0.24093712026119327
48,ML,0,20.0,0.18739092718091296
68,ML,0,20.0,0.17781727585254603
88,ML,0,20.0,0.06553873892499136
108,ML,0,20.0,0.37377611965503954
9,ML,0,40.0,0.15229413856730237
29,ML,0,40.0,0.423897694272497
49,ML,0,40.0,0.14308551206988898
69,ML,0,40.0,0.17774234802359193
89,ML,0,40.0,0.25572184218861765
109,ML,0,40.0,0.28676414861255184
10,ML,45,2.5,16.301881298879213
30,ML,45,2.5,16.996782264529212
50,ML,45,2.5,17.851195043747595
70,ML,45,2.5,16.674082781147487
90,ML,45,2.5,16.996782264529212
110,ML,45,2.5,15.907426321982044
11,ML,45,5.0,3.4327598998866335
31,ML,45,5.0,2.229675702985101
51,ML,45,5.0,2.4392766262953103
71,ML,45,5.0,3.0039515228850555
91,ML,45,5.0,3.728696868119094
111,ML,45,5.0,2.9666616688188783
12,ML,45,10.0,0.626487309130371
32,ML,45,10.0,0.5254862657237701
52,ML,45,10.0,0.45802887418099747
72,ML,45,10.0,1.1287858355974267
92,ML,45,10.0,0.9341547243374175
112,ML,45,10.0,1.2396951807589172
13,ML,45,20.0,0.2816238182841136
33,ML,45,20.0,0.12653107911988273
53,ML,45,20.0,0.677496896224041
73,ML,45,20.0,0.16435541278484606
93,ML,45,20.0,0.7589133760357658
113,ML,45,20.0,0.2089428244856261
14,ML,45,40.0,0.27787595111008445
34,ML,45,40.0,0.27244508642077364
54,ML,45,40.0,0.4093939725052338
74,ML,45,40.0,0.22762683559395183
94,ML,45,40.0,0.2739246747255004
114,ML,45,40.0,0.3304095642127336
15,ML,90,2.5,14.667773349659143
35,ML,90,2.5,11.575158844142463
55,ML,90,2.5,12.491825897779988
75,ML,90,2.5,16.996782264529216
95,ML,90,2.5,11.174849974650465
115,ML,90,2.5,16.996782264529212
16,ML,90,5.0,3.5119388537611385
36,ML,90,5.0,2.005858114795568
56,ML,90,5.0,1.4713679125733783
76,ML,90,5.0,3.874732284489857
96,ML,90,5.0,2.1531110917336176
116,ML,90,5.0,1.2826828222894453
17,ML,90,10.0,0.9903666244420424
37,ML,90,10.0,0.3320114234248803
57,ML,90,10.0,0.8694745263845727
77,ML,90,10.0,0.6623749783860465
97,ML,90,10.0,0.37172777250531475
117,ML,90,10.0,0.6499737865109084
18,ML,90,20.0,0.19702062202872353
38,ML,90,20.0,0.15825052732271713
58,ML,90,20.0,0.121023432186522
78,ML,90,20.0,0.26162727866044155
98,ML,90,20.0,0.23921624274815292
118,ML,90,20.0,0.3228911930040976
19,ML,90,40.0,0.20495914237526
39,ML,90,40.0,0.1729127604604448
59,ML,90,40.0,0.12009237793736786
79,ML,90,40.0,0.16522638643919865
99,ML,90,40.0,0.2481122215883145
119,ML,90,40.0,0.15430172712327103
