,decoder,ori,iv,threshold
0,PV,-45,2.5,15.265880920185326
20,PV,-45,2.5,14.99047283304087
40,PV,-45,2.5,16.823964946810715
60,PV,-45,2.5,16.405673041917016
80,PV,-45,2.5,15.819670001929106
100,PV,-45,2.5,16.11329535148972
1,PV,-45,5.0,2.3618664119266426
21,PV,-45,5.0,2.6381859833368813
41,PV,-45,5.0,4.708382292422985
61,PV,-45,5.0,2.7124219446603584
81,PV,-45,5.0,7.585075858646842
101,PV,-45,5.0,6.83530502412851
2,PV,-45,10.0,1.7996975828471184
22,PV,-45,10.0,2.370946414307232
42,PV,-45,10.0,0.7923297223776826
62,PV,-45,10.0,1.1568917856497392
82,PV,-45,10.0,2.3290003035533484
102,PV,-45,10.0,1.4703480945273704
3,PV,-45,20.0,1.2437188691790968
23,PV,-45,20.0,1.0241574085910707
43,PV,-45,20.0,0.5698965083097404
63,PV,-45,20.0,1.2825195663292315
83,PV,-45,20.0,0.8981673204693751
103,PV,-45,20.0,0.9053715453384058
4,PV,-45,40.0,0.7145360276043191
24,PV,-45,40.0,1.1140697079305142
44,PV,-45,40.0,0.5833488617780941
64,PV,-45,40.0,0.33286322181536987
84,PV,-45,40.0,0.9826972173126353
104,PV,-45,40.0,0.3883475465797968
5,PV,0,2.5,9.194385966705054
25,PV,0,2.5,13.908952991952736
45,PV,0,2.5,8.663293419327045
65,PV,0,2.5,12.380570694451428
85,PV,0,2.5,7.338273191071199
105,PV,0,2.5,11.583797642049399
6,PV,0,5.0,4.104453408041434
26,PV,0,5.0,4.0135341211057245
46,PV,0,5.0,3.891446610470028
66,PV,0,5.0,2.944802679522983
86,PV,0,5.0,2.9175286089682118
106,PV,0,5.0,4.104453408041434
7,PV,0,10.0,0.8873997023255485
27,PV,0,10.0,1.2129725205834623
47,PV,0,10.0,0.5636483797104176
67,PV,0,10.0,0.8266524486653477
87,PV,0,10.0,0.41782623720527096
107,PV,0,10.0,1.1070359825973424
8,PV,0,20.0,0.15564046299738243
28,PV,0,20.0,0.539790529839168
48,PV,0,20.0,0.6669929887982838
68,PV,0,20.0,1.0240670236768612
88,PV,0,20.0,0.2803633759080153
108,PV,0,20.0,0.33363746449404147
9,PV,0,40.0,0.5282864422146096
29,PV,0,40.0,0.3959416190368801
49,PV,0,40.0,0.31333529258981413
69,PV,0,40.0,0.37480455882878
89,PV,0,40.0,0.44691508024269244
109,PV,0,40.0,0.3999833866987264
10,PV,45,2.5,15.456915500319989
30,PV,45,2.5,11.311491744218536
50,PV,45,2.5,14.642552780804769
70,PV,45,2.5,6.121980469798669
90,PV,45,2.5,16.872115709196127
110,PV,45,2.5,16.674082781147487
11,PV,45,5.0,1.9316496281617341
31,PV,45,5.0,7.970268090600904
51,PV,45,5.0,2.2248614139248115
71,PV,45,5.0,5.642235206870861
91,PV,45,5.0,3.1526858809039564
111,PV,45,5.0,5.153199259721736
12,PV,45,10.0,0.8397800214816592
32,PV,45,10.0,1.0859637578782022
52,PV,45,10.0,0.6907886063672101
72,PV,45,10.0,2.161335681590671
92,PV,45,10.0,1.9433916123714408
112,PV,45,10.0,1.4408992368274347
13,PV,45,20.0,0.6173950139859741
33,PV,45,20.0,0.698156348757922
53,PV,45,20.0,1.0599453291077172
73,PV,45,20.0,0.8076957490426664
93,PV,45,20.0,0.3150390335395968
113,PV,45,20.0,0.8341643514632296
14,PV,45,40.0,0.6783589026668597
34,PV,45,40.0,0.8982849785481788
54,PV,45,40.0,1.1469642645099156
74,PV,45,40.0,0.7993110671766978
94,PV,45,40.0,0.7617166341387471
114,PV,45,40.0,0.3485345881813198
15,PV,90,2.5,17.851195043747595
35,PV,90,2.5,13.990415943029738
55,PV,90,2.5,16.108101759101753
75,PV,90,2.5,11.85220738127987
95,PV,90,2.5,15.283979616673276
115,PV,90,2.5,16.28088792065572
16,PV,90,5.0,6.228996589209326
36,PV,90,5.0,6.014538987825738
56,PV,90,5.0,2.48768848615591
76,PV,90,5.0,2.016320484860342
96,PV,90,5.0,3.180600547632485
116,PV,90,5.0,2.833500791675661
17,PV,90,10.0,1.287575510181767
37,PV,90,10.0,1.5215989845742321
57,PV,90,10.0,0.8625494676191808
77,PV,90,10.0,1.3559164330145368
97,PV,90,10.0,1.2479536223143572
117,PV,90,10.0,1.2239616893565326
18,PV,90,20.0,0.6597887639292532
38,PV,90,20.0,0.2534551581584145
58,PV,90,20.0,0.7423470706205025
78,PV,90,20.0,0.4740192688899543
98,PV,90,20.0,0.40364651458588935
118,PV,90,20.0,0.3757696831725618
19,PV,90,40.0,0.2596731185732017
39,PV,90,40.0,0.5342786554595461
59,PV,90,40.0,0.5073217307277761
79,PV,90,40.0,0.5510864588862117
99,PV,90,40.0,0.38402506963480826
119,PV,90,40.0,0.5576561664654809
