,decoder,ori,iv,threshold
0,WTA,-45,2.5,17.33843981054703
20,WTA,-45,2.5,16.823964946810715
40,WTA,-45,2.5,17.1405254484266
60,WTA,-45,2.5,14.157639515629171
80,WTA,-45,2.5,13.87034112745417
100,WTA,-45,2.5,17.1405254484266
1,WTA,-45,5.0,3.148895752972166
21,WTA,-45,5.0,12.091604170031042
41,WTA,-45,5.0,4.988447035861124
61,WTA,-45,5.0,9.936654769636538
81,WTA,-45,5.0,9.73456960693668
101,WTA,-45,5.0,8.089597717561297
2,WTA,-45,10.0,2.3465986811996093
22,WTA,-45,10.0,3.313115876729586
42,WTA,-45,10.0,1.5390795025798933
62,WTA,-45,10.0,6.5736296329372506
82,WTA,-45,10.0,5.735562041981041
102,WTA,-45,10.0,2.3182865834453854
3,WTA,-45,20.0,2.1052052254940516
23,WTA,-45,20.0,1.1193279924181267
43,WTA,-45,20.0,3.3382797715967882
63,WTA,-45,20.0,1.270476447216181
83,WTA,-45,20.0,1.5022709992985526
103,WTA,-45,20.0,1.7494614345051194
4,WTA,-45,40.0,0.7941784851210759
24,WTA,-45,40.0,2.5456147178866657
44,WTA,-45,40.0,2.920556737294662
64,WTA,-45,40.0,2.0841715486021637
84,WTA,-45,40.0,2.5996910475117474
104,WTA,-45,40.0,0.8127033541926828
5,WTA,0,2.5,15.725325239550457
25,WTA,0,2.5,10.291650137410874
45,WTA,0,2.5,15.155090829233542
65,WTA,0,2.5,6.180281586439077
85,WTA,0,2.5,9.201337532412394
105,WTA,0,2.5,8.070917540774442
6,WTA,0,5.0,6.851663033534481
26,WTA,0,5.0,8.770821031236265
46,WTA,0,5.0,10.171660805690657
66,WTA,0,5.0,7.164494112752369
86,WTA,0,5.0,2.1805564218869855
106,WTA,0,5.0,6.744786511562623
7,WTA,0,10.0,2.141208892677294
27,WTA,0,10.0,2.2124953786019543
47,WTA,0,10.0,2.8026149417037955
67,WTA,0,10.0,1.3952529445596646
87,WTA,0,10.0,2.7676773529606975
107,WTA,0,10.0,3.111038402119078
8,WTA,0,20.0,2.358367878876548
28,WTA,0,20.0,1.3870341127454164
48,WTA,0,20.0,1.9998421048837944
68,WTA,0,20.0,1.6247067436698093
88,WTA,0,20.0,1.5261086144189377
108,WTA,0,20.0,1.8008299783056714
9,WTA,0,40.0,2.3494050923984404
29,WTA,0,40.0,1.9199699847192766
49,WTA,0,40.0,1.9877619200975059
69,WTA,0,40.0,1.197718698385356
89,WTA,0,40.0,2.265002894244057
109,WTA,0,40.0,1.4007689579922893
10,WTA,45,2.5,8.977237195298299
30,WTA,45,2.5,15.258882572271341
50,WTA,45,2.5,17.851195043747595
70,WTA,45,2.5,16.52407709103181
90,WTA,45,2.5,15.252095669074514
110,WTA,45,2.5,17.85119504374759
11,WTA,45,5.0,8.94679106091673
31,WTA,45,5.0,5.139339526274317
51,WTA,45,5.0,2.563246619563482
71,WTA,45,5.0,5.416327551452725
91,WTA,45,5.0,2.188394112502943
111,WTA,45,5.0,6.7030295095010475
12,WTA,45,10.0,1.4158207171369572
32,WTA,45,10.0,3.8620442270492177
52,WTA,45,10.0,2.424537641963401
72,WTA,45,10.0,2.4936333360870893
92,WTA,45,10.0,2.9699460481800535
112,WTA,45,10.0,3.828184609979106
13,WTA,45,20.0,1.6406584191018252
33,WTA,45,20.0,1.3061834429460497
53,WTA,45,20.0,3.3382797715967882
73,WTA,45,20.0,2.276356098848095
93,WTA,45,20.0,1.0285785308524311
113,WTA,45,20.0,0.40154398469376423
14,WTA,45,40.0,2.188610654448521
34,WTA,45,40.0,1.7329372426039191
54,WTA,45,40.0,2.5304415065191495
74,WTA,45,40.0,2.5668257620486408
94,WTA,45,40.0,2.7724866602303755
114,WTA,45,40.0,3.33475373947099
15,WTA,90,2.5,4.423212333147181
35,WTA,90,2.5,14.69809514261358
55,WTA,90,2.5,17.1405254484266
75,WTA,90,2.5,12.547792507707827
95,WTA,90,2.5,10.857375543595026
115,WTA,90,2.5,9.813401991828654
16,WTA,90,5.0,3.268523885170661
36,WTA,90,5.0,9.497729724571322
56,WTA,90,5.0,4.3767629620755315
76,WTA,90,5.0,4.040045096274773
96,WTA,90,5.0,5.426156481303816
116,WTA,90,5.0,8.219240096189703
17,WTA,90,10.0,1.6399575542964675
37,WTA,90,10.0,3.0094691821524333
57,WTA,90,10.0,4.236067329021069
77,WTA,90,10.0,3.2128949687559465
97,WTA,90,10.0,2.9266211641537345
117,WTA,90,10.0,2.3982520425325418
18,WTA,90,20.0,2.6216054337113266
38,WTA,90,20.0,1.0979433837689396
58,WTA,90,20.0,1.9715916751695797
78,WTA,90,20.0,2.909396765777571
98,WTA,90,20.0,4.9273288844672205
118,WTA,90,20.0,1.0085000426138289
19,WTA,90,40.0,1.3949706320582116
39,WTA,90,40.0,1.222415081418991
59,WTA,90,40.0,2.327775415656381
79,WTA,90,40.0,2.6442359764173093
99,WTA,90,40.0,3.3794540568459808
119,WTA,90,40.0,2.2494606200128344
